Name,,,ZIP,LAT,LONG
Michigan Stadium,Ann Arbor,MI,,42.26586873,-83.74872565
Beaver Stadium,University Park,PA,,40.81215273,-77.85620213
Ohio Stadium,Columbus,OH,,40.00168569,-83.01972806
Kyle Field,College Station,TX,,30.61009758,-96.34072923
Neyland Stadium,Knoxville,TN,,35.95473437,-83.92533302
Tiger Stadium,Baton Rouge,LA,,30.4120124,-91.18381977
Bryant–Denny Stadium,Tuscaloosa,AL,,33.20748994,-87.55039215
Darrell K Royal–Texas Memorial Stadium,Austin,TX,,30.2836034,-97.73233652
Los Angeles Memorial Coliseum,Los Angeles,CA,,34.01400974,-118.2878959
Sanford Stadium,Athens,GA,,33.94982149,-83.3734417
Rose Bowl,Pasadena,CA,,34.16156959,-118.1676149
Ben Hill Griffin Stadium,Gainesville,FL,,29.64986868,-82.34866619
Jordan–Hare Stadium,Auburn,AL,,32.60236167,-85.48891068
Memorial Stadium,Lincoln,NE,,40.82048352,-96.70571566
Bobby Bowden Field at Doak Campbell Stadium,Tallahassee,FL,,30.43754758,-84.30453398
Gaylord Family Oklahoma Memorial Stadium,Norman,OK,,35.20589959,-97.44255066
Memorial Stadium,Clemson,SC,,34.67874666,-82.8431797
Notre Dame Stadium,Notre Dame,IN,,41.69842312,-86.23382449
Camp Randall Stadium,Madison,WI,,43.06993803,-89.41274643
Williams-Brice Stadium,Columbia,SC,,33.97259115,-81.02021635
Spartan Stadium,East Lansing,MI,,42.72816912,-84.48487535
Donald W. Reynolds Razorback Stadium,Fayetteville,AR,,36.06785079,-94.17879581
Sun Devil Stadium Frank Kush Field,Tempe,AZ,,33.426364,-111.932616
Faurot Field,Columbia,MO,,38.9358953,-92.33311415
Kinnick Stadium,Iowa City,IA,,41.65838894,-91.55147552
Qualcomm Stadium,San Diego,CA,,32.78305326,-117.1196008
Husky Stadium,Seattle,WA,,47.65043054,-122.3029198
Lincoln Financial Field,Philadelphia,PA,,39.9007489,-75.16749144
Heinz Field,Pittsburgh,PA,,40.44678377,-80.01575589
Lane Stadium,Blacksburg,VA,,37.21997428,-80.41805506
Raymond James Stadium,Tampa,FL,,27.97599447,-82.50334918
Sun Life Stadium,Miami Gardens,FL,,25.95793374,-80.23884058
Alamodome,San Antonio,TX,,29.41693713,-98.47890258
LaVell Edwards Stadium,Provo,UT,,40.257488,-111.654439
Kenan Memorial Stadium,Chapel Hill,NC,,35.90698835,-79.04791832
California Memorial Stadium,Berkeley,CA,,37.8706866,-122.2507095
Liberty Bowl Memorial Stadium,Memphis,TN,,35.12085692,-89.97805741
Commonwealth Stadium,Lexington,KY,,38.02262168,-84.50520515
Jack Trice Stadium,Ames,IA,,42.01400541,-93.63580942
